tenor,ois_df,irs_rate,fw_libor,irs_df
0.5,0.9987515605493182,0.025,0.025,0.9876543209876544
1.0,0.9970089730807411,0.027999999999999997,0.0310052434147976,0.9725768303060389
1.5,0.9952698594970053,,0.03175112395399182,0.9573779178360259
2.0,0.9935307459132695,0.03,0.03226332232718043,0.9421790053660128
2.5,0.9917729435657792,,0.03421832855865681,0.9263302686232237
3.0,0.9900151412182888,0.0315,0.0348139664295144,0.9104815318804345
3.5,0.9880658954667711,,0.03520706158772535,0.8947311053157814
4.0,0.9861166497152535,0.0325,0.03583793579406436,0.8789806787511283
4.5,0.9841503847242374,,0.03471286018955899,0.8639849837772591
5.0,0.9821841197332213,0.033,0.03532599332320174,0.8489892888033899
5.5,0.979739533448497,,0.038888933845449,0.8327960142509112
6.0,0.9772949471637726,,0.03966010341444326,0.8166027396984324
6.5,0.9748503608790484,,0.04046247641393386,0.8004094651459537
7.0,0.9724057745943241,0.035,0.04129798580216493,0.784216190593475
7.5,0.9696676252496377,,0.039666230861845175,0.768965214727422
8.0,0.9669294759049512,,0.040468854320949266,0.753714238861369
8.5,0.9641913265602646,,0.041304629844937324,0.738463262995316
9.0,0.9614531772155781,,0.042175654748872304,0.7232122871292629
9.5,0.9587150278708916,,0.04308420707013161,0.7079613112632099
10.0,0.9559768785262052,0.037000000000000005,0.04403276546266355,0.6927103353971569
10.5,0.9531403386341177,,0.04174495277708479,0.6785473714089167
11.0,0.9503037987420302,,0.042634847627519346,0.6643844074206766
11.5,0.9474672588499427,,0.0435635094206539,0.6502214434324365
12.0,0.9446307189578551,,0.04453352779956976,0.6360584794441964
12.5,0.9417941790657676,,0.045547728312066216,0.6218955154559562
13.0,0.9389576391736801,,0.046609199898987264,0.6077325514677161
13.5,0.9361210992815926,,0.04772132631788484,0.593569587479476
14.0,0.933284559389505,,0.048887822175385676,0.5794066234912358
14.5,0.9304480194974176,,0.050112774376604996,0.5652436595029957
15.0,0.9276114796053301,0.04,0.051400689966142554,0.5510806955147556
15.5,0.9248579253489311,,0.05322824370703927,0.5367943843591365
16.0,0.9221043710925321,,0.05468359969264869,0.5225080732035173
16.5,0.9193508168361331,,0.05622077692246741,0.5082217620478983
17.0,0.9165972625797341,,0.05784687505143182,0.49393545089227914
17.5,0.9138437083233351,,0.05956983958508788,0.47964913973666
18.0,0.9110901540669359,,0.06139859171468487,0.4653628285810409
18.5,0.9083365998105369,,0.06334318282476836,0.45107651742542176
19.0,0.9055830455541379,,0.06541497932210749,0.4367902062698027
19.5,0.9028294912977389,,0.0676268849628392,0.4225038951141835
20.0,0.9000759370413399,0.045,0.06999360986404346,0.40821758395856445
20.5,0.8974424759760844,,0.046255604330637023,0.3989898261924115
21.0,0.8948090149108288,,0.047350722472362605,0.38976206842625866
21.5,0.8921755538455731,,0.04849895269704163,0.3805343106601058
22.0,0.8895420927803176,,0.04970425484943375,0.37130655289395287
22.5,0.886908631715062,,0.050970992448734265,0.36207879512779995
23.0,0.8842751706498063,,0.05230398547302606,0.3528510373616471
23.5,0.8816417095845508,,0.05370857164867049,0.3436232795954942
24.0,0.8790082485192952,,0.05519067788750043,0.3343955218293413
24.5,0.8763747874540395,,0.056756903887678956,0.32516776406318837
25.0,0.873741326388784,,0.05841462038509482,0.3159400062970355
25.5,0.8711078653235285,,0.0601720851407328,0.3067122485308826
26.0,0.8684744042582728,,0.06203858051511535,0.2974844907647297
26.5,0.8658409431930172,,0.0640245774671877,0.2882567329985768
27.0,0.8632074821277617,,0.06614193209480401,0.2790289752324239
27.5,0.860574021062506,,0.06840412250776051,0.26980121746627106
28.0,0.8579405599972504,,0.07082653603151101,0.26057345970011814
28.5,0.8553070989319949,,0.07342681967625042,0.2513457019339652
29.0,0.8526736378667392,,0.07622531074984762,0.24211794416781235
29.5,0.8500401768014836,,0.07924556984327413,0.23289018640165945
30.0,0.8474067157362281,0.05,0.08251504575398316,0.22366242863550656
