maturity,duration,pv_fix_nok,pv_float,k_rate
1.0,1.0,1.9888006054102747,0.06365553937392526,0.032006999193764624
1.0,2.0,3.9705886901943424,0.13205870570352976,0.03325922577416753
1.0,3.0,5.944771235376367,0.20218598771591248,0.034010726352720955
1.0,5.0,9.868140220446096,0.34790593665517394,0.03525547153599796
1.0,10.0,19.495774004623144,0.749182905894002,0.03842796422016095
5.0,1.0,1.9570344806122697,0.07686064457297775,0.039274036985251
5.0,2.0,3.904290616085642,0.15646390418030076,0.04007486111194461
5.0,3.0,5.840887717240231,0.23405749216173935,0.04007224646193498
5.0,5.0,9.68122412741317,0.39783275772637083,0.041093228758114914
5.0,10.0,19.084983218610407,0.8327473925192166,0.043633645520168796
10.0,1.0,1.903444137376148,0.08030485608543511,0.04218923713523499
10.0,2.0,3.7955421151839457,0.16364759332514292,0.04311573639783258
10.0,3.0,5.676293933423394,0.2503082430200432,0.04409712498258196
10.0,5.0,9.403759091197239,0.4349146347928458,0.046249019203391216
10.0,10.0,18.52842840314859,0.9904840017865639,0.05345752916735496
